# K. S. Pitzer, _J. Chem. Phys._ **6** (1938) 68
#TK	    Cp J	Cp cal
70.16	0.0938	0.0224
75.37	0.124	0.0296
81.59	0.152	0.0362
88.65	0.189	0.0452
96.68	0.248	0.0592
105.1	0.329	0.0785
113.04	0.415	0.0991
125.28	0.578	0.138
134.29	0.729	0.174
144.1	0.913	0.218
153.71	1.118	0.267
162.76	1.331	0.318
173.33	1.616	0.386
181.96	1.859	0.444
191.44	2.169	0.518
200.94	2.491	0.595
211.84	2.868	0.685
231.06	3.592	0.858
241.09	3.843	0.918
252.37	4.325	1.033
264.31	4.760	1.137
276.61	5.263	1.257
287.96	5.673	1.355
#
# A. C. Victor, _J. Chem. Phys._ **36** (1962) 1903
#TK	    Cp J	Cp cal
300	6.196	1.48
320	7.030	1.679
340	7.863	1.878
360	8.679	2.073
380	9.475	2.263
400	10.24	2.446
420	10.97	2.621
440	11.67	2.788
460	12.34	2.947
480	12.97	3.098
500	13.57	3.242
550	14.94	3.568
600	16.13	3.852
650	17.16	4.098
700	18.05	4.312
750	18.83	4.497
800	19.51	4.66
850	20.11	4.803
900	20.65	4.932
950	21.14	5.05
1000	21.61	5.162
1050	22.06	5.27
1100	22.52	5.38
