# K. S. Pitzer, _J. Chem. Phys._ **6** (1938) 68
#TK	    Cp J	Cp cal
70.16	0.0938	0.0224
75.37	0.124	0.0296
81.59	0.152	0.0362
88.65	0.189	0.0452
96.68	0.248	0.0592
105.1	0.329	0.0785
113.04	0.415	0.0991
125.28	0.578	0.138
134.29	0.729	0.174
144.1	0.913	0.218
153.71	1.118	0.267
162.76	1.331	0.318
173.33	1.616	0.386
181.96	1.859	0.444
191.44	2.169	0.518
200.94	2.491	0.595
211.84	2.868	0.685
231.06	3.592	0.858
241.09	3.843	0.918
252.37	4.325	1.033
264.31	4.760	1.137
276.61	5.263	1.257
287.96	5.673	1.355

